coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,689,-33,12,20,4,1,3,23.5,-19.2,"""[23.5]""","""[-21.31, -23.28, -12.88]""",-1.5
eth,689,-15,12,21,3,1,2,23.5,-19.6,"""[23.5]""","""[-25.83, -13.31]""",-0.7
eth,689,-17,12,22,3,1,2,22.3,-19.7,"""[22.33]""","""[-25.83, -13.52]""",-0.7
eth,689,51,13,7,15,7,8,17.2,-8.6,"""[2.43, 39.84, 3.75, 20.86, 19.86, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -8.61, -10.46, -5.45, -8.98, -3.87]""",2.3
eth,689,20,13,8,14,5,9,20.2,-9.0,"""[5.25, 35.99, 18.23, 10.64, 30.91]""","""[-13.12, -13.27, -6.7, -11.99, -11.23, -9.38, -0.72, -10.35, -4.13]""",0.9
eth,689,-18,13,9,11,4,7,13.4,-10.3,"""[3.58, 26.96, 12.33, 10.64]""","""[-15.47, -15.95, -12.02, -9.38, -2.37, -11.39, -5.25]""",-0.8
eth,689,-30,13,10,10,4,6,8.0,-10.4,"""[0.36, 20.31, 7.32, 4.01]""","""[-19.0, -12.02, -9.38, -4.57, -11.39, -6.23]""",-1.3
eth,689,-34,13,11,9,3,6,10.8,-11.2,"""[16.96, 12.83, 2.48]""","""[-26.26, -2.59, -12.02, -9.7, -5.13, -11.25]""",-1.5
eth,689,-7,13,12,7,3,4,8.0,-7.8,"""[12.77, 10.46, 0.73]""","""[-4.46, -12.02, -5.46, -9.27]""",-0.3
eth,689,-9,13,13,6,2,4,10.3,-7.6,"""[11.14, 9.37]""","""[-7.36, -12.02, -1.55, -9.42]""",-0.4
eth,689,-29,13,14,6,2,4,5.0,-9.9,"""[4.41, 5.6]""","""[-12.56, -12.82, -4.66, -9.42]""",-1.3
eth,689,-4,13,15,4,2,2,13.6,-15.6,"""[1.34, 25.89]""","""[-21.47, -9.78]""",-0.2
